"label","name","lat","lng"
"Bus Stop","Alfred Hospital/Punt Rd (South Yarra)",-37.846404,144.984774
"Bus Stop","Pasley St South/Punt Rd (South Yarra)",-37.843395,144.98539
"Bus Stop","Lang St/Punt Rd (South Yarra)",-37.841105,144.985838
"Bus Stop","Toorak Rd/Punt Rd (South Yarra)",-37.838681,144.986359
"Bus Stop","Tivoli Pl/Punt Rd (South Yarra)",-37.836552,144.986803
"Bus Stop","Witchwood Cl/Punt Rd (South Yarra)",-37.833769,144.987401
"Bus Stop","Swan St/Punt Rd (Melbourne City)",-37.824778,144.9886
"Bus Stop","Rowena Pde/Punt Rd (Richmond)",-37.821039,144.989201
"Bus Stop","Anderson St/Alexandra Ave (South Yarra)",-37.82839,144.985355
"Bus Stop","Melbourne Girls Grammar/Anderson St (South Yarra)",-37.832164,144.984184
"Bus Stop","Domain Rd/Birdwood Ave (South Yarra)",-37.833812,144.982571
"Bus Stop","Domain Rd/Birdwood Ave (South Yarra)",-37.833756,144.982425
"Bus Stop","Melbourne Girls Grammar/Anderson St (South Yarra)",-37.831317,144.984207
"Bus Stop","Wesley College/Moubray St (Melbourne City)",-37.847707,144.980374
"Bus Stop","Punt Rd/Commercial Rd (South Yarra)",-37.845724,144.984565
"Bus Stop","Alfred Hospital/Commercial Rd (Prahran)",-37.845272,144.981327
"Bus Stop","Epsom Rd/Smithfield Rd (Kensington)",-37.789537,144.922387
"Bus Stop","Gatehouse Dr/Smithfield Rd (Kensington)",-37.791337,144.919702
"Bus Stop","Kensington Rd/Dynon Rd (West Melbourne)",-37.801363,144.914412
"Bus Stop","330 Dynon Rd (West Melbourne)",-37.801928,144.919314
"Bus Stop","Freight Terminal/Dynon Rd (West Melbourne)",-37.802508,144.924625
"Bus Stop","Lloyd St/Dynon Rd (West Melbourne)",-37.802853,144.927829
"Bus Stop","Dynon Rd/Kensington Rd (West Melbourne)",-37.800504,144.916765
"Bus Stop","Opp 156-174 Kensington Rd (West Melbourne)",-37.799585,144.918324
"Bus Stop","Childers St/Kensington Rd (Kensington)",-37.798273,144.920598
"Bus Stop","Mercantile Pde/Kensington Rd (Kensington)",-37.797223,144.922376
"Bus Stop","Epsom Rd/Smithfield Rd (Flemington)",-37.789364,144.922324
"Bus Stop","Gatehouse Dr/Smithfield Rd (Kensington)",-37.790804,144.920149
"Bus Stop","Dynon Rd/Kensington Rd (West Melbourne)",-37.800376,144.916689
"Bus Stop","156 Kensington Rd (West Melbourne)",-37.798978,144.91917
"Bus Stop","Hobsons Rd/Kensington Rd (Kensington)",-37.798126,144.920409
"Bus Stop","Mercantile Pde/Kensington Rd (Kensington)",-37.797062,144.922438
"Bus Stop","Devon St/Kensington Rd (Kensington)",-37.796404,144.923433
"Bus Stop","Cairncross Lane/Kensington Rd (Kensington)",-37.795603,144.925
"Bus Stop","Derby St/Kensington Rd (Kensington)",-37.794815,144.926362
"Bus Stop","Kensington Station/Macaulay Rd (Kensington)",-37.794356,144.929963
"Bus Stop","Albermarle St/Macaulay Rd (Kensington)",-37.794812,144.933857
"Bus Stop","Macaulay Station/Macaulay Rd (North Melbourne)",-37.795093,144.936541
"Bus Stop","Sims St/Dynon Rd (West Melbourne)",-37.801521,144.91367
"Bus Stop","Altona St/Kensington Rd (Kensington)",-37.79621,144.924188
"Bus Stop","Derby St/Kensington Rd (Kensington)",-37.795205,144.925976
"Bus Stop","Kensington Station/Macaulay Rd (Kensington)",-37.79442,144.929519
"Bus Stop","Albermarle St/Macaulay Rd (Kensington)",-37.794928,144.933797
"Bus Stop","Macaulay Station/Macaulay Rd (North Melbourne)",-37.795197,144.936288
