census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,customer_rate
2002,58,105829,105829,37-41 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Gnd & Flr1  37-41 Little Bourke Street MELBOURNE 3000,Kri Kri Restaurant,4511,Cafes and Restaurants,Seats - Indoor,150,144.97019,-37.81247,4
2017,240,101052,101052,212 Berkeley Street CARLTON 3053,Carlton,Ground  212 Berkeley Street CARLTON 3053,Haymarket Place,4511,Cafes and Restaurants,Seats - Outdoor,10,144.959,-37.80052,4.2
2016,85,109311,109311,335-347 Swanston Street MELBOURNE 3000,Melbourne (CBD),Shop 1 Ground  335-347 Swanston Street MELBOURNE 3000,Nando's,4511,Cafes and Restaurants,Seats - Indoor,64,144.96244,-37.812,4.2
2014,1105,609487,609487,737-743 Bourke Street DOCKLANDS 3008,Docklands,Part Ground  737 Bourke Street DOCKLANDS 3008,Shuli Sushi,4511,Cafes and Restaurants,Seats - Indoor,56,144.94907,-37.8192,3.4
2009,82,106033,106033,470-472 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),470-472 Little Lonsdale Street MELBOURNE 3000,Cii Cafe Bar,4511,Cafes and Restaurants,Seats - Indoor,70,144.9555,-37.81299,3.4
2010,115,110747,110747,499-511 Swanston Street MELBOURNE 3000,Melbourne (CBD),Part Ground  501 Swanston Street MELBOURNE 3000,Cafe 501,4511,Cafes and Restaurants,Seats - Indoor,40,144.96192,-37.80693,3.8
2014,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Shop 10 Ground  8 Whiteman Street SOUTHBANK 3006,Bistro Guillaume,4511,Cafes and Restaurants,Seats - Outdoor,35,144.95834,-37.82316,4
2004,784,110642,110597,3 Central Boulevard FISHERMANS BEND 3207,Port Melbourne,3 Central Boulevard FISHERMANS BEND 3207,Portside Deli,4511,Cafes and Restaurants,Seats - Indoor,54,144.91753,-37.82392,3.9
2002,113,110679,108118,50-100 Peel Street MELBOURNE 3000,Melbourne (CBD),Stall 20 50 Peel Street MELBOURNE 3000,Tribel Cafe,4511,Cafes and Restaurants,Seats - Indoor,16,144.95639,-37.80888,4
2016,245,109365,109365,644-658 Swanston Street CARLTON 3053,Carlton,650 Swanston Street CARLTON 3053,Black Ball,4511,Cafes and Restaurants,Seats - Indoor,25,144.96297,-37.80296,4.2
2004,67,108581,108581,226-236 Russell Street MELBOURNE 3000,Melbourne (CBD),165 Russell Street MELBOURNE 3000,Izakaya Chuji Japanese Restaurant,4511,Cafes and Restaurants,Seats - Indoor,60,144.96633,-37.81262,3.5
2006,64,105870,105870,380-384 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),46-52 Little Bourke Street MELBOURNE 3000,Taste Buds of Melbourne,4511,Cafes and Restaurants,Seats - Outdoor,20,144.96001,-37.81518,3.8
2014,345,103403,103403,37 Errol Street NORTH MELBOURNE 3051,North Melbourne,37 Errol Street NORTH MELBOURNE 3051,Char Siu House,4511,Cafes and Restaurants,Seats - Outdoor,12,144.94909,-37.80412,3.9
2006,246,106105,106105,177-183 Lygon Street CARLTON 3053,Carlton,177-179 Lygon Street CARLTON 3053,Cafe Notturno,4511,Cafes and Restaurants,Seats - Indoor,170,144.96519,-37.80309,3.4
2018,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Shop 317 Level 3 300 La Trobe Street MELBOURNE 3000,Naughty Nuri's Warung and Grill,4511,Cafes and Restaurants,Seats - Indoor,120,144.96284,-37.8109,3.8
2002,710,108625,108625,407B-407D St Kilda Road MELBOURNE 3004,Melbourne (Remainder),407C St Kilda Road MELBOURNE 3004,Cafe Rosco,4511,Cafes and Restaurants,Seats - Outdoor,24,144.97488,-37.83791,3.6
2011,1101,110845,110845,641-679 Collins Street DOCKLANDS 3008,Docklands,Part Ground 0 655-0 Collins Street DOCKLANDS 3008,Espresso Hub,4511,Cafes and Restaurants,Seats - Indoor,60,144.95305,-37.81969,4.3
2009,559,111268,104201,10 Gatehouse Drive KENSINGTON 3031,Kensington,10 Gatehouse Drive KENSINGTON 3031,The Gatehouse Cafe,4511,Cafes and Restaurants,Seats - Indoor,30,144.91943,-37.79168,4.4
2021,33,105934,105934,429 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Ground & Level 1 429 Little Collins Street MELBOURNE VIC 3000,Little Brother Kitchen & Bar,4511,Cafes and Restaurants,Seats - Indoor,68,144.96045,-37.81628,3.7
