census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,customer_rate
2010,72,110708,110707,535 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Shop  535 Little Lonsdale Street MELBOURNE 3000,Gami At Healeys - Chicken & Beer,4511,Cafes and Restaurants,Seats - Outdoor,8,144.956,-37.81346,3.8
2014,47,105966,105966,130-134 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gnd & Mezz  130 Little Collins Street MELBOURNE 3000,Famish'd,4511,Cafes and Restaurants,Seats - Indoor,40,144.96938,-37.8133,4
2018,430,108861,108861,495-497 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),495-497 Spencer Street WEST MELBOURNE 3003,Indian Biryani Lounge,4511,Cafes and Restaurants,Seats - Indoor,26,144.94877,-37.80898,3.9
2003,362,103242,103242,579-581 Elizabeth Street MELBOURNE 3000,North Melbourne,Part Ground 0 579-581 Elizabeth Street MELBOURNE 3000,Melbourne City Cafe 579,4511,Cafes and Restaurants,Seats - Outdoor,9,144.95698,-37.80635,4
2016,247,106233,106233,234-236 Lygon Street CARLTON 3053,Carlton,234-236 Lygon Street CARLTON 3053,Carmine's Bistro,4511,Cafes and Restaurants,Seats - Indoor,100,144.96591,-37.80333,4.2
2010,68,105900,105900,40-46 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),40-46 Little Bourke Street MELBOURNE 3000,Longrain Melbourne,4511,Cafes and Restaurants,Seats - Indoor,156,144.97118,-37.81059,3.5
2014,72,105726,110707,550 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Shop Ground 550 Lonsdale Street MELBOURNE 3000,Demi Tasse,4511,Cafes and Restaurants,Seats - Outdoor,14,144.9561,-37.81346,3.8
2009,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Shop 22 Ground 8 Whiteman Street SOUTHBANK 3006,Brubakers,4511,Cafes and Restaurants,Seats - Outdoor,32,144.95834,-37.82318,3.9
2009,57,101220,101220,98 Bourke Street MELBOURNE 3000,Melbourne (CBD),98 Bourke Street MELBOURNE 3000,Jasalmer Palace Indian Restaurant,4511,Cafes and Restaurants,Seats - Indoor,80,144.97017,-37.81195,3.4
2009,66,101785,101785,16 Celestial Avenue MELBOURNE 3000,Melbourne (CBD),16 Celestial Avenue MELBOURNE 3000,Heyday Hong Kong Cafe,4511,Cafes and Restaurants,Seats - Indoor,16,144.96637,-37.81181,3.8
2018,67,105678,105678,123-129 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Part Ground  123 Lonsdale Street MELBOURNE 3000,Cafe Caledonia,4511,Cafes and Restaurants,Seats - Outdoor,6,144.96868,-37.81072,3.6
2010,131,103978,111287,18-38 Siddeley Street DOCKLANDS 3005,Docklands,18-38 Siddeley Street DOCKLANDS 3005,Degani Bakery Cafe,4511,Cafes and Restaurants,Seats - Outdoor,26,144.95378,-37.82258,4.3
2015,803,111175,110477,8 Whiteman Street SOUTHBANK 3006,Southbank,Shop 46 Ground  8 Whiteman Street SOUTHBANK 3006,Man Tong Kitchen,4511,Cafes and Restaurants,Seats - Indoor,180,144.95834,-37.82316,4.4
2011,43,110147,110147,114-128 William Street MELBOURNE 3000,Melbourne (CBD),Part Ground  114 William Street MELBOURNE 3000,Trios Cafe,4511,Cafes and Restaurants,Seats - Indoor,60,144.95892,-37.81631,3.7
