"lat","lng","name"
-37.812379,144.974488,"10-Parliament Railway Station/Macarthur St (East Melbourne)"
-37.813557,144.973285,"8-Spring St/Collins St (Melbourne City)"
-37.815674,144.965957,"6-Melbourne Town Hall/Collins St (Melbourne City)"
-37.816423,144.963404,"5-Elizabeth St/Collins St (Melbourne City)"
-37.817607,144.959429,"3-William St/Collins St (Melbourne City)"
-37.818847,144.955055,"1-Spencer St/Collins St (Melbourne City)"
-37.818741,144.955183,"1-Spencer St/Collins St (Melbourne City)"
-37.817372,144.959913,"3-William St/Collins St (Melbourne City)"
-37.816206,144.963864,"5-Elizabeth St/Collins St (Melbourne City)"
-37.815518,144.96628,"6-Melbourne Town Hall/Collins St (Melbourne City)"
-37.813416,144.973482,"8-Spring St/Collins St (Melbourne City)"
-37.81217,144.974368,"10-Parliament Railway Station/Macarthur St (East Melbourne)"
-37.789131,144.939852,"22-Boundary Rd/Racecourse Rd (North Melbourne)"
-37.790394,144.943485,"20-Melrose St/Flemington Rd (North Melbourne)"
-37.794106,144.947096,"19-Abbotsford St Interchange/Abbotsford St (North Melbourne)"
-37.809695,144.975606,"11-Albert St/Gisborne St (East Melbourne)"
-37.808019,144.973562,"10-Nicholson St/Victoria Pde (East Melbourne)"
-37.807614,144.970972,"9-La Trobe St/Victoria St (Melbourne City)"
-37.808103,144.969027,"8-Exhibition St/La Trobe St (Melbourne City)"
-37.80955,144.964081,"6-Swanston St/La Trobe St (Melbourne City)"
-37.810291,144.961596,"5-Elizabeth St/La Trobe St (Melbourne City)"
-37.811005,144.959122,"4-Queen St/La Trobe St (Melbourne City)"
-37.811711,144.956718,"3-William St/La Trobe St (Melbourne City)"
-37.813112,144.95176,"1-Spencer St/La Trobe St (Melbourne City)"
-37.813781,144.940508,"D10-New Quay Prom/Docklands Dr (Docklands)"
-37.814345,144.938754,"D11-Waterfront City/Docklands Dr (Docklands)"
-37.813312,144.941509,"D10-NewQuay Prom/Docklands Dr (Docklands)"
-37.814578,144.946404,"D1-Stadium Precinct/La Trobe St (Docklands)"
-37.813211,144.951201,"119-Spencer St/La Trobe St (Melbourne City)"
-37.81248,144.953732,"2-King St/La Trobe St (Melbourne City)"
-37.811791,144.956136,"3-William St/La Trobe St (Melbourne City)"
-37.811061,144.958712,"4-Queen St/La Trobe St (Melbourne City)"
