"Place","Distance","Theme","Count"
"Fitzroy Gardens","Within 500m","Public and Institutional Facilities",2
"Fitzroy Gardens","500m - 1km","Health Services",1
"Fitzroy Gardens","500m - 1km","Leisure and Recreation",9
"Fitzroy Gardens","500m - 1km","Place Of Assembly",6
"Fitzroy Gardens","500m - 1km","Place of Worship",4
"Fitzroy Gardens","500m - 1km","Public and Institutional Facilities",3
"Fitzroy Gardens","1km - 5km","Health Services",6
"Fitzroy Gardens","1km - 5km","Leisure and Recreation",49
"Fitzroy Gardens","1km - 5km","Place Of Assembly",31
"Fitzroy Gardens","1km - 5km","Place of Worship",22
"Fitzroy Gardens","1km - 5km","Public and Institutional Facilities",47
"Fitzroy Gardens","1km - 5km","Retail",4
"Fitzroy Gardens","5km - 10km","Leisure and Recreation",7
"Fitzroy Gardens","5km - 10km","Place of Worship",2
"Fitzroy Gardens","5km - 10km","Public and Institutional Facilities",2
"Sinclair's Cottage","Within 500m","Health Services",3
"Sinclair's Cottage","Within 500m","Leisure and Recreation",2
"Sinclair's Cottage","Within 500m","Place Of Assembly",2
"Sinclair's Cottage","Within 500m","Place of Worship",2
"Sinclair's Cottage","Within 500m","Public and Institutional Facilities",1
"Sinclair's Cottage","500m - 1km","Health Services",2
"Sinclair's Cottage","500m - 1km","Leisure and Recreation",12
"Sinclair's Cottage","500m - 1km","Place Of Assembly",6
"Sinclair's Cottage","500m - 1km","Place of Worship",5
"Sinclair's Cottage","500m - 1km","Public and Institutional Facilities",4
"Sinclair's Cottage","1km - 5km","Health Services",6
"Sinclair's Cottage","1km - 5km","Leisure and Recreation",46
"Sinclair's Cottage","1km - 5km","Place Of Assembly",32
"Sinclair's Cottage","1km - 5km","Place of Worship",22
"Sinclair's Cottage","1km - 5km","Public and Institutional Facilities",47
"Sinclair's Cottage","1km - 5km","Retail",4
"Sinclair's Cottage","5km - 10km","Leisure and Recreation",7
"Sinclair's Cottage","5km - 10km","Place of Worship",2
"Sinclair's Cottage","5km - 10km","Public and Institutional Facilities",2
"BIO 21 Institute","Within 500m","Health Services",3
"BIO 21 Institute","Within 500m","Public and Institutional Facilities",4
"BIO 21 Institute","500m - 1km","Health Services",2
"BIO 21 Institute","500m - 1km","Leisure and Recreation",4
"BIO 21 Institute","500m - 1km","Place Of Assembly",1
"BIO 21 Institute","500m - 1km","Place of Worship",4
"BIO 21 Institute","500m - 1km","Public and Institutional Facilities",1
"BIO 21 Institute","1km - 5km","Health Services",5
"BIO 21 Institute","1km - 5km","Leisure and Recreation",61
"BIO 21 Institute","1km - 5km","Place Of Assembly",39
"BIO 21 Institute","1km - 5km","Place of Worship",25
"BIO 21 Institute","1km - 5km","Public and Institutional Facilities",48
"BIO 21 Institute","1km - 5km","Retail",4
"BIO 21 Institute","5km - 10km","Health Services",1
"BIO 21 Institute","5km - 10km","Leisure and Recreation",2
"BIO 21 Institute","5km - 10km","Place of Worship",2
"BIO 21 Institute","5km - 10km","Public and Institutional Facilities",1
"Enterprize Park","Within 500m","Leisure and Recreation",6
"Enterprize Park","Within 500m","Place Of Assembly",1
"Enterprize Park","Within 500m","Public and Institutional Facilities",3
"Enterprize Park","500m - 1km","Leisure and Recreation",1
"Enterprize Park","500m - 1km","Place Of Assembly",19
"Enterprize Park","500m - 1km","Place of Worship",5
"Enterprize Park","500m - 1km","Public and Institutional Facilities",25
"Enterprize Park","500m - 1km","Retail",2
"Enterprize Park","1km - 5km","Health Services",11
"Enterprize Park","1km - 5km","Leisure and Recreation",58
"Enterprize Park","1km - 5km","Place Of Assembly",20
"Enterprize Park","1km - 5km","Place of Worship",26
"Enterprize Park","1km - 5km","Public and Institutional Facilities",26
"Enterprize Park","1km - 5km","Retail",2
"Enterprize Park","5km - 10km","Leisure and Recreation",2
"Metropolitan Fire Brigade (MFB)","Within 500m","Health Services",2
"Metropolitan Fire Brigade (MFB)","Within 500m","Leisure and Recreation",2
"Metropolitan Fire Brigade (MFB)","Within 500m","Place Of Assembly",3
"Metropolitan Fire Brigade (MFB)","Within 500m","Place of Worship",5
"Metropolitan Fire Brigade (MFB)","Within 500m","Public and Institutional Facilities",4
"Metropolitan Fire Brigade (MFB)","500m - 1km","Health Services",3
"Metropolitan Fire Brigade (MFB)","500m - 1km","Leisure and Recreation",3
"Metropolitan Fire Brigade (MFB)","500m - 1km","Place Of Assembly",13
"Metropolitan Fire Brigade (MFB)","500m - 1km","Place of Worship",8
"Metropolitan Fire Brigade (MFB)","500m - 1km","Public and Institutional Facilities",6
"Metropolitan Fire Brigade (MFB)","1km - 5km","Health Services",6
"Metropolitan Fire Brigade (MFB)","1km - 5km","Leisure and Recreation",56
"Metropolitan Fire Brigade (MFB)","1km - 5km","Place Of Assembly",24
"Metropolitan Fire Brigade (MFB)","1km - 5km","Place of Worship",18
"Metropolitan Fire Brigade (MFB)","1km - 5km","Public and Institutional Facilities",44
"Metropolitan Fire Brigade (MFB)","1km - 5km","Retail",4
"Metropolitan Fire Brigade (MFB)","5km - 10km","Leisure and Recreation",6
"Royal Melbourne Hospital","Within 500m","Health Services",3
"Royal Melbourne Hospital","Within 500m","Leisure and Recreation",1
"Royal Melbourne Hospital","Within 500m","Place of Worship",1
"Royal Melbourne Hospital","Within 500m","Public and Institutional Facilities",5
"Royal Melbourne Hospital","500m - 1km","Health Services",2
"Royal Melbourne Hospital","500m - 1km","Leisure and Recreation",4
"Royal Melbourne Hospital","500m - 1km","Place Of Assembly",2
"Royal Melbourne Hospital","500m - 1km","Place of Worship",1
"Royal Melbourne Hospital","500m - 1km","Retail",1
"Royal Melbourne Hospital","1km - 5km","Health Services",5
"Royal Melbourne Hospital","1km - 5km","Leisure and Recreation",59
"Royal Melbourne Hospital","1km - 5km","Place Of Assembly",38
"Royal Melbourne Hospital","1km - 5km","Place of Worship",27
"Royal Melbourne Hospital","1km - 5km","Public and Institutional Facilities",48
"Royal Melbourne Hospital","1km - 5km","Retail",3
"Royal Melbourne Hospital","5km - 10km","Health Services",1
"Royal Melbourne Hospital","5km - 10km","Leisure and Recreation",3
"Royal Melbourne Hospital","5km - 10km","Place of Worship",2
"Royal Melbourne Hospital","5km - 10km","Public and Institutional Facilities",1
"Koorie Heritage Trust Inc","Within 500m","Leisure and Recreation",1
"Koorie Heritage Trust Inc","Within 500m","Place Of Assembly",1
"Koorie Heritage Trust Inc","Within 500m","Place of Worship",2
"Koorie Heritage Trust Inc","Within 500m","Public and Institutional Facilities",6
"Koorie Heritage Trust Inc","500m - 1km","Leisure and Recreation",5
"Koorie Heritage Trust Inc","500m - 1km","Place Of Assembly",3
"Koorie Heritage Trust Inc","500m - 1km","Place of Worship",3
"Koorie Heritage Trust Inc","500m - 1km","Public and Institutional Facilities",4
"Koorie Heritage Trust Inc","500m - 1km","Retail",3
"Koorie Heritage Trust Inc","1km - 5km","Health Services",11
"Koorie Heritage Trust Inc","1km - 5km","Leisure and Recreation",60
"Koorie Heritage Trust Inc","1km - 5km","Place Of Assembly",36
"Koorie Heritage Trust Inc","1km - 5km","Place of Worship",26
"Koorie Heritage Trust Inc","1km - 5km","Public and Institutional Facilities",44
"Koorie Heritage Trust Inc","1km - 5km","Retail",1
"Koorie Heritage Trust Inc","5km - 10km","Leisure and Recreation",1
"Commonwealth Law Courts","Within 500m","Leisure and Recreation",1
"Commonwealth Law Courts","Within 500m","Place Of Assembly",1
"Commonwealth Law Courts","Within 500m","Place of Worship",2
"Commonwealth Law Courts","Within 500m","Public and Institutional Facilities",6
"Commonwealth Law Courts","500m - 1km","Leisure and Recreation",5
"Commonwealth Law Courts","500m - 1km","Place Of Assembly",2
"Commonwealth Law Courts","500m - 1km","Place of Worship",3
"Commonwealth Law Courts","500m - 1km","Public and Institutional Facilities",8
"Commonwealth Law Courts","500m - 1km","Retail",3
"Commonwealth Law Courts","1km - 5km","Health Services",11
"Commonwealth Law Courts","1km - 5km","Leisure and Recreation",60
"Commonwealth Law Courts","1km - 5km","Place Of Assembly",37
"Commonwealth Law Courts","1km - 5km","Place of Worship",26
"Commonwealth Law Courts","1km - 5km","Public and Institutional Facilities",40
"Commonwealth Law Courts","1km - 5km","Retail",1
"Commonwealth Law Courts","5km - 10km","Leisure and Recreation",1
"RMIT University","Within 500m","Leisure and Recreation",1
"RMIT University","Within 500m","Place Of Assembly",1
"RMIT University","Within 500m","Place of Worship",5
"RMIT University","Within 500m","Public and Institutional Facilities",4
"RMIT University","500m - 1km","Health Services",1
"RMIT University","500m - 1km","Leisure and Recreation",8
"RMIT University","500m - 1km","Place Of Assembly",11
"RMIT University","500m - 1km","Place of Worship",6
"RMIT University","500m - 1km","Public and Institutional Facilities",14
"RMIT University","500m - 1km","Retail",3
"RMIT University","1km - 5km","Health Services",10
"RMIT University","1km - 5km","Leisure and Recreation",55
"RMIT University","1km - 5km","Place Of Assembly",28
"RMIT University","1km - 5km","Place of Worship",20
"RMIT University","1km - 5km","Public and Institutional Facilities",36
"RMIT University","1km - 5km","Retail",1
"RMIT University","5km - 10km","Leisure and Recreation",3
"Macarthur Square","Within 500m","Leisure and Recreation",3
"Macarthur Square","Within 500m","Place Of Assembly",2
"Macarthur Square","Within 500m","Place of Worship",1
"Macarthur Square","Within 500m","Public and Institutional Facilities",2
"Macarthur Square","500m - 1km","Health Services",1
"Macarthur Square","500m - 1km","Leisure and Recreation",5
"Macarthur Square","500m - 1km","Place Of Assembly",4
"Macarthur Square","500m - 1km","Place of Worship",2
"Macarthur Square","500m - 1km","Public and Institutional Facilities",1
"Macarthur Square","1km - 5km","Health Services",9
"Macarthur Square","1km - 5km","Leisure and Recreation",55
"Macarthur Square","1km - 5km","Place Of Assembly",34
"Macarthur Square","1km - 5km","Place of Worship",28
"Macarthur Square","1km - 5km","Public and Institutional Facilities",50
"Macarthur Square","1km - 5km","Retail",4
"Macarthur Square","5km - 10km","Health Services",1
"Macarthur Square","5km - 10km","Leisure and Recreation",4
"Macarthur Square","5km - 10km","Public and Institutional Facilities",1
"City Baths","Within 500m","Leisure and Recreation",2
"City Baths","Within 500m","Place Of Assembly",1
"City Baths","Within 500m","Place of Worship",3
"City Baths","Within 500m","Public and Institutional Facilities",4
"City Baths","500m - 1km","Health Services",1
"City Baths","500m - 1km","Leisure and Recreation",7
"City Baths","500m - 1km","Place Of Assembly",10
"City Baths","500m - 1km","Place of Worship",9
"City Baths","500m - 1km","Public and Institutional Facilities",10
"City Baths","500m - 1km","Retail",3
"City Baths","1km - 5km","Health Services",10
"City Baths","1km - 5km","Leisure and Recreation",55
"City Baths","1km - 5km","Place Of Assembly",29
"City Baths","1km - 5km","Place of Worship",19
"City Baths","1km - 5km","Public and Institutional Facilities",40
"City Baths","1km - 5km","Retail",1
"City Baths","5km - 10km","Leisure and Recreation",3
"Westgate Park","Within 500m","Leisure and Recreation",2
"Westgate Park","1km - 5km","Leisure and Recreation",21
"Westgate Park","1km - 5km","Place Of Assembly",8
"Westgate Park","1km - 5km","Place of Worship",5
"Westgate Park","1km - 5km","Public and Institutional Facilities",17
"Westgate Park","1km - 5km","Retail",1
"Westgate Park","5km - 10km","Health Services",11
"Westgate Park","5km - 10km","Leisure and Recreation",44
"Westgate Park","5km - 10km","Place Of Assembly",32
"Westgate Park","5km - 10km","Place of Worship",26
"Westgate Park","5km - 10km","Public and Institutional Facilities",37
"Westgate Park","5km - 10km","Retail",3
"Cooks' Cottage","Within 500m","Health Services",1
"Cooks' Cottage","Within 500m","Leisure and Recreation",2
"Cooks' Cottage","Within 500m","Place Of Assembly",2
"Cooks' Cottage","Within 500m","Place of Worship",1
"Cooks' Cottage","Within 500m","Public and Institutional Facilities",3
"Cooks' Cottage","500m - 1km","Health Services",4
"Cooks' Cottage","500m - 1km","Leisure and Recreation",14
"Cooks' Cottage","500m - 1km","Place Of Assembly",11
"Cooks' Cottage","500m - 1km","Place of Worship",8
"Cooks' Cottage","500m - 1km","Public and Institutional Facilities",2
"Cooks' Cottage","1km - 5km","Health Services",6
"Cooks' Cottage","1km - 5km","Leisure and Recreation",44
"Cooks' Cottage","1km - 5km","Place Of Assembly",27
"Cooks' Cottage","1km - 5km","Place of Worship",21
"Cooks' Cottage","1km - 5km","Public and Institutional Facilities",47
"Cooks' Cottage","1km - 5km","Retail",4
"Cooks' Cottage","5km - 10km","Leisure and Recreation",7
"Cooks' Cottage","5km - 10km","Place of Worship",1
"Cooks' Cottage","5km - 10km","Public and Institutional Facilities",2
"Royal Exhibition Building","Within 500m","Leisure and Recreation",2
"Royal Exhibition Building","Within 500m","Place Of Assembly",3
"Royal Exhibition Building","Within 500m","Place of Worship",2
"Royal Exhibition Building","Within 500m","Public and Institutional Facilities",1
"Royal Exhibition Building","500m - 1km","Health Services",3
"Royal Exhibition Building","500m - 1km","Leisure and Recreation",7
"Royal Exhibition Building","500m - 1km","Place Of Assembly",8
"Royal Exhibition Building","500m - 1km","Place of Worship",8
"Royal Exhibition Building","500m - 1km","Public and Institutional Facilities",8
"Royal Exhibition Building","1km - 5km","Health Services",8
"Royal Exhibition Building","1km - 5km","Leisure and Recreation",53
"Royal Exhibition Building","1km - 5km","Place Of Assembly",29
"Royal Exhibition Building","1km - 5km","Place of Worship",21
"Royal Exhibition Building","1km - 5km","Public and Institutional Facilities",45
"Royal Exhibition Building","1km - 5km","Retail",4
"Royal Exhibition Building","5km - 10km","Leisure and Recreation",5
"Melbourne Childrens Court","Within 500m","Leisure and Recreation",1
"Melbourne Childrens Court","Within 500m","Place Of Assembly",1
"Melbourne Childrens Court","Within 500m","Place of Worship",2
"Melbourne Childrens Court","Within 500m","Public and Institutional Facilities",7
"Melbourne Childrens Court","500m - 1km","Leisure and Recreation",4
"Melbourne Childrens Court","500m - 1km","Place Of Assembly",6
"Melbourne Childrens Court","500m - 1km","Place of Worship",8
"Melbourne Childrens Court","500m - 1km","Public and Institutional Facilities",8
"Melbourne Childrens Court","500m - 1km","Retail",3
"Melbourne Childrens Court","1km - 5km","Health Services",11
"Melbourne Childrens Court","1km - 5km","Leisure and Recreation",61
"Melbourne Childrens Court","1km - 5km","Place Of Assembly",33
"Melbourne Childrens Court","1km - 5km","Place of Worship",21
"Melbourne Childrens Court","1km - 5km","Public and Institutional Facilities",39
"Melbourne Childrens Court","1km - 5km","Retail",1
"Melbourne Childrens Court","5km - 10km","Leisure and Recreation",1
"Etihad Stadium","Within 500m","Leisure and Recreation",2
"Etihad Stadium","Within 500m","Place Of Assembly",1
"Etihad Stadium","500m - 1km","Leisure and Recreation",4
"Etihad Stadium","500m - 1km","Place Of Assembly",3
"Etihad Stadium","500m - 1km","Place of Worship",2
"Etihad Stadium","500m - 1km","Public and Institutional Facilities",8
"Etihad Stadium","1km - 5km","Health Services",11
"Etihad Stadium","1km - 5km","Leisure and Recreation",61
"Etihad Stadium","1km - 5km","Place Of Assembly",36
"Etihad Stadium","1km - 5km","Place of Worship",29
"Etihad Stadium","1km - 5km","Public and Institutional Facilities",46
"Etihad Stadium","1km - 5km","Retail",4
"Eureka Skydeck 88","Within 500m","Leisure and Recreation",3
"Eureka Skydeck 88","Within 500m","Place Of Assembly",7
"Eureka Skydeck 88","Within 500m","Place of Worship",1
"Eureka Skydeck 88","Within 500m","Public and Institutional Facilities",13
"Eureka Skydeck 88","500m - 1km","Leisure and Recreation",10
"Eureka Skydeck 88","500m - 1km","Place Of Assembly",10
"Eureka Skydeck 88","500m - 1km","Place of Worship",4
"Eureka Skydeck 88","500m - 1km","Public and Institutional Facilities",8
"Eureka Skydeck 88","500m - 1km","Retail",2
"Eureka Skydeck 88","1km - 5km","Health Services",11
"Eureka Skydeck 88","1km - 5km","Leisure and Recreation",49
"Eureka Skydeck 88","1km - 5km","Place Of Assembly",23
"Eureka Skydeck 88","1km - 5km","Place of Worship",26
"Eureka Skydeck 88","1km - 5km","Public and Institutional Facilities",33
"Eureka Skydeck 88","1km - 5km","Retail",2
"Eureka Skydeck 88","5km - 10km","Leisure and Recreation",5
"County Court Melbourne","Within 500m","Leisure and Recreation",1
"County Court Melbourne","Within 500m","Place Of Assembly",1
"County Court Melbourne","Within 500m","Place of Worship",3
"County Court Melbourne","Within 500m","Public and Institutional Facilities",7
"County Court Melbourne","500m - 1km","Leisure and Recreation",6
"County Court Melbourne","500m - 1km","Place Of Assembly",5
"County Court Melbourne","500m - 1km","Place of Worship",6
"County Court Melbourne","500m - 1km","Public and Institutional Facilities",8
"County Court Melbourne","500m - 1km","Retail",3
"County Court Melbourne","1km - 5km","Health Services",11
"County Court Melbourne","1km - 5km","Leisure and Recreation",59
"County Court Melbourne","1km - 5km","Place Of Assembly",34
"County Court Melbourne","1km - 5km","Place of Worship",22
"County Court Melbourne","1km - 5km","Public and Institutional Facilities",39
"County Court Melbourne","1km - 5km","Retail",1
"County Court Melbourne","5km - 10km","Leisure and Recreation",1
"Peter Maccallum Cancer Institute","Within 500m","Health Services",3
"Peter Maccallum Cancer Institute","Within 500m","Leisure and Recreation",3
"Peter Maccallum Cancer Institute","Within 500m","Place Of Assembly",5
"Peter Maccallum Cancer Institute","Within 500m","Place of Worship",5
"Peter Maccallum Cancer Institute","Within 500m","Public and Institutional Facilities",5
"Peter Maccallum Cancer Institute","500m - 1km","Health Services",2
"Peter Maccallum Cancer Institute","500m - 1km","Leisure and Recreation",4
"Peter Maccallum Cancer Institute","500m - 1km","Place Of Assembly",9
"Peter Maccallum Cancer Institute","500m - 1km","Place of Worship",6
"Peter Maccallum Cancer Institute","500m - 1km","Public and Institutional Facilities",1
"Peter Maccallum Cancer Institute","1km - 5km","Health Services",6
"Peter Maccallum Cancer Institute","1km - 5km","Leisure and Recreation",54
"Peter Maccallum Cancer Institute","1km - 5km","Place Of Assembly",26
"Peter Maccallum Cancer Institute","1km - 5km","Place of Worship",20
"Peter Maccallum Cancer Institute","1km - 5km","Public and Institutional Facilities",48
"Peter Maccallum Cancer Institute","1km - 5km","Retail",4
"Peter Maccallum Cancer Institute","5km - 10km","Leisure and Recreation",6
"Sandridge Rail Bridge","Within 500m","Leisure and Recreation",4
"Sandridge Rail Bridge","Within 500m","Place Of Assembly",3
"Sandridge Rail Bridge","Within 500m","Place of Worship",1
"Sandridge Rail Bridge","Within 500m","Public and Institutional Facilities",5
"Sandridge Rail Bridge","500m - 1km","Leisure and Recreation",8
"Sandridge Rail Bridge","500m - 1km","Place Of Assembly",15
"Sandridge Rail Bridge","500m - 1km","Place of Worship",6
"Sandridge Rail Bridge","500m - 1km","Public and Institutional Facilities",19
"Sandridge Rail Bridge","500m - 1km","Retail",2
"Sandridge Rail Bridge","1km - 5km","Health Services",11
"Sandridge Rail Bridge","1km - 5km","Leisure and Recreation",51
"Sandridge Rail Bridge","1km - 5km","Place Of Assembly",22
"Sandridge Rail Bridge","1km - 5km","Place of Worship",24
"Sandridge Rail Bridge","1km - 5km","Public and Institutional Facilities",30
"Sandridge Rail Bridge","1km - 5km","Retail",2
"Sandridge Rail Bridge","5km - 10km","Leisure and Recreation",4
"Lincoln Square","Within 500m","Health Services",1
"Lincoln Square","Within 500m","Leisure and Recreation",5
"Lincoln Square","Within 500m","Place of Worship",1
"Lincoln Square","500m - 1km","Health Services",3
"Lincoln Square","500m - 1km","Leisure and Recreation",4
"Lincoln Square","500m - 1km","Place Of Assembly",7
"Lincoln Square","500m - 1km","Place of Worship",6
"Lincoln Square","500m - 1km","Public and Institutional Facilities",9
"Lincoln Square","500m - 1km","Retail",1
"Lincoln Square","1km - 5km","Health Services",6
"Lincoln Square","1km - 5km","Leisure and Recreation",55
"Lincoln Square","1km - 5km","Place Of Assembly",33
"Lincoln Square","1km - 5km","Place of Worship",24
"Lincoln Square","1km - 5km","Public and Institutional Facilities",44
"Lincoln Square","1km - 5km","Retail",3
"Lincoln Square","5km - 10km","Health Services",1
"Lincoln Square","5km - 10km","Leisure and Recreation",3
"Lincoln Square","5km - 10km","Public and Institutional Facilities",1
"Epworth Freemasons Hospital","Within 500m","Health Services",3
"Epworth Freemasons Hospital","Within 500m","Leisure and Recreation",2
"Epworth Freemasons Hospital","Within 500m","Place Of Assembly",2
"Epworth Freemasons Hospital","Within 500m","Place of Worship",2
"Epworth Freemasons Hospital","500m - 1km","Health Services",2
"Epworth Freemasons Hospital","500m - 1km","Leisure and Recreation",4
"Epworth Freemasons Hospital","500m - 1km","Place Of Assembly",4
"Epworth Freemasons Hospital","500m - 1km","Place of Worship",5
"Epworth Freemasons Hospital","500m - 1km","Public and Institutional Facilities",5
"Epworth Freemasons Hospital","1km - 5km","Health Services",6
"Epworth Freemasons Hospital","1km - 5km","Leisure and Recreation",54
"Epworth Freemasons Hospital","1km - 5km","Place Of Assembly",34
"Epworth Freemasons Hospital","1km - 5km","Place of Worship",22
"Epworth Freemasons Hospital","1km - 5km","Public and Institutional Facilities",47
"Epworth Freemasons Hospital","1km - 5km","Retail",4
"Epworth Freemasons Hospital","5km - 10km","Leisure and Recreation",7
"Epworth Freemasons Hospital","5km - 10km","Place of Worship",2
"Epworth Freemasons Hospital","5km - 10km","Public and Institutional Facilities",2
"The Museum Of Australian Chinese History","Within 500m","Leisure and Recreation",1
"The Museum Of Australian Chinese History","Within 500m","Place Of Assembly",7
"The Museum Of Australian Chinese History","Within 500m","Place of Worship",6
"The Museum Of Australian Chinese History","Within 500m","Public and Institutional Facilities",4
"The Museum Of Australian Chinese History","500m - 1km","Health Services",2
"The Museum Of Australian Chinese History","500m - 1km","Leisure and Recreation",8
"The Museum Of Australian Chinese History","500m - 1km","Place Of Assembly",9
"The Museum Of Australian Chinese History","500m - 1km","Place of Worship",9
"The Museum Of Australian Chinese History","500m - 1km","Public and Institutional Facilities",14
"The Museum Of Australian Chinese History","500m - 1km","Retail",2
"The Museum Of Australian Chinese History","1km - 5km","Health Services",9
"The Museum Of Australian Chinese History","1km - 5km","Leisure and Recreation",53
"The Museum Of Australian Chinese History","1km - 5km","Place Of Assembly",24
"The Museum Of Australian Chinese History","1km - 5km","Place of Worship",16
"The Museum Of Australian Chinese History","1km - 5km","Public and Institutional Facilities",36
"The Museum Of Australian Chinese History","1km - 5km","Retail",2
"The Museum Of Australian Chinese History","5km - 10km","Leisure and Recreation",5
"Council House 2 (CH2)","Within 500m","Leisure and Recreation",1
"Council House 2 (CH2)","Within 500m","Place Of Assembly",8
"Council House 2 (CH2)","Within 500m","Place of Worship",7
"Council House 2 (CH2)","Within 500m","Public and Institutional Facilities",8
"Council House 2 (CH2)","Within 500m","Retail",2
"Council House 2 (CH2)","500m - 1km","Health Services",1
"Council House 2 (CH2)","500m - 1km","Leisure and Recreation",12
"Council House 2 (CH2)","500m - 1km","Place Of Assembly",10
"Council House 2 (CH2)","500m - 1km","Place of Worship",6
"Council House 2 (CH2)","500m - 1km","Public and Institutional Facilities",16
"Council House 2 (CH2)","1km - 5km","Health Services",10
"Council House 2 (CH2)","1km - 5km","Leisure and Recreation",51
"Council House 2 (CH2)","1km - 5km","Place Of Assembly",22
"Council House 2 (CH2)","1km - 5km","Place of Worship",18
"Council House 2 (CH2)","1km - 5km","Public and Institutional Facilities",30
"Council House 2 (CH2)","1km - 5km","Retail",2
"Council House 2 (CH2)","5km - 10km","Leisure and Recreation",3
"Carlton Gardens South","Within 500m","Leisure and Recreation",3
"Carlton Gardens South","Within 500m","Place Of Assembly",5
"Carlton Gardens South","Within 500m","Place of Worship",3
"Carlton Gardens South","Within 500m","Public and Institutional Facilities",2
"Carlton Gardens South","500m - 1km","Health Services",3
"Carlton Gardens South","500m - 1km","Leisure and Recreation",6
"Carlton Gardens South","500m - 1km","Place Of Assembly",7
"Carlton Gardens South","500m - 1km","Place of Worship",8
"Carlton Gardens South","500m - 1km","Public and Institutional Facilities",8
"Carlton Gardens South","1km - 5km","Health Services",8
"Carlton Gardens South","1km - 5km","Leisure and Recreation",53
"Carlton Gardens South","1km - 5km","Place Of Assembly",28
"Carlton Gardens South","1km - 5km","Place of Worship",20
"Carlton Gardens South","1km - 5km","Public and Institutional Facilities",44
"Carlton Gardens South","1km - 5km","Retail",4
"Carlton Gardens South","5km - 10km","Leisure and Recreation",5
"Wesley Church","Within 500m","Leisure and Recreation",1
"Wesley Church","Within 500m","Place Of Assembly",5
"Wesley Church","Within 500m","Place of Worship",4
"Wesley Church","Within 500m","Public and Institutional Facilities",5
"Wesley Church","Within 500m","Retail",1
"Wesley Church","500m - 1km","Health Services",2
"Wesley Church","500m - 1km","Leisure and Recreation",10
"Wesley Church","500m - 1km","Place Of Assembly",10
"Wesley Church","500m - 1km","Place of Worship",11
"Wesley Church","500m - 1km","Public and Institutional Facilities",13
"Wesley Church","500m - 1km","Retail",1
"Wesley Church","1km - 5km","Health Services",9
"Wesley Church","1km - 5km","Leisure and Recreation",52
"Wesley Church","1km - 5km","Place Of Assembly",25
"Wesley Church","1km - 5km","Place of Worship",16
"Wesley Church","1km - 5km","Public and Institutional Facilities",36
"Wesley Church","1km - 5km","Retail",2
"Wesley Church","5km - 10km","Leisure and Recreation",4
"St Augustines Church","Within 500m","Place Of Assembly",1
"St Augustines Church","Within 500m","Place of Worship",1
"St Augustines Church","Within 500m","Public and Institutional Facilities",3
"St Augustines Church","500m - 1km","Leisure and Recreation",9
"St Augustines Church","500m - 1km","Place Of Assembly",6
"St Augustines Church","500m - 1km","Place of Worship",3
"St Augustines Church","500m - 1km","Public and Institutional Facilities",10
"St Augustines Church","500m - 1km","Retail",2
"St Augustines Church","1km - 5km","Health Services",11
"St Augustines Church","1km - 5km","Leisure and Recreation",57
"St Augustines Church","1km - 5km","Place Of Assembly",33
"St Augustines Church","1km - 5km","Place of Worship",27
"St Augustines Church","1km - 5km","Public and Institutional Facilities",41
"St Augustines Church","1km - 5km","Retail",2
"St Augustines Church","5km - 10km","Leisure and Recreation",1
"Church of Christ","Within 500m","Leisure and Recreation",1
"Church of Christ","Within 500m","Place Of Assembly",3
"Church of Christ","Within 500m","Place of Worship",4
"Church of Christ","Within 500m","Public and Institutional Facilities",6
"Church of Christ","Within 500m","Retail",2
"Church of Christ","500m - 1km","Leisure and Recreation",7
"Church of Christ","500m - 1km","Place Of Assembly",11
"Church of Christ","500m - 1km","Place of Worship",7
"Church of Christ","500m - 1km","Public and Institutional Facilities",13
"Church of Christ","500m - 1km","Retail",1
"Church of Christ","1km - 5km","Health Services",11
"Church of Christ","1km - 5km","Leisure and Recreation",56
"Church of Christ","1km - 5km","Place Of Assembly",26
"Church of Christ","1km - 5km","Place of Worship",20
"Church of Christ","1km - 5km","Public and Institutional Facilities",35
"Church of Christ","1km - 5km","Retail",1
"Church of Christ","5km - 10km","Leisure and Recreation",3
"Holy Trinity","Within 500m","Health Services",2
"Holy Trinity","Within 500m","Leisure and Recreation",2
"Holy Trinity","Within 500m","Place Of Assembly",2
"Holy Trinity","Within 500m","Place of Worship",2
"Holy Trinity","Within 500m","Public and Institutional Facilities",1
"Holy Trinity","500m - 1km","Health Services",3
"Holy Trinity","500m - 1km","Leisure and Recreation",10
"Holy Trinity","500m - 1km","Place Of Assembly",4
"Holy Trinity","500m - 1km","Place of Worship",5
"Holy Trinity","500m - 1km","Public and Institutional Facilities",4
"Holy Trinity","1km - 5km","Health Services",6
"Holy Trinity","1km - 5km","Leisure and Recreation",48
"Holy Trinity","1km - 5km","Place Of Assembly",34
"Holy Trinity","1km - 5km","Place of Worship",22
"Holy Trinity","1km - 5km","Public and Institutional Facilities",47
"Holy Trinity","1km - 5km","Retail",4
"Holy Trinity","5km - 10km","Leisure and Recreation",7
"Holy Trinity","5km - 10km","Place of Worship",2
"Holy Trinity","5km - 10km","Public and Institutional Facilities",2
"Melbourne Unitarian Church","Within 500m","Health Services",3
"Melbourne Unitarian Church","Within 500m","Leisure and Recreation",3
"Melbourne Unitarian Church","Within 500m","Place Of Assembly",2
"Melbourne Unitarian Church","Within 500m","Place of Worship",2
