"name","lat","lng"
"Rathdowne St/Elgin St (Carlton)",-37.797619,144.970927
"Victoria St/Rathdowne St (Carlton)",-37.806851,144.969016
"Flinders Lane/Queen St (Melbourne City)",-37.818093,144.962006
"Flinders Lane/Queen St (Melbourne City)",-37.817685,144.961824
"Collins St/Queen St (Melbourne City)",-37.816648,144.961296
"Little Collins St/Queen St (Melbourne City)",-37.816176,144.961104
"Bourke St/Queen St (Melbourne City)",-37.815268,144.960698
"Bourke St/Queen St (Melbourne City)",-37.814532,144.960366
"Bourke St/Queen St (Melbourne City)",-37.814468,144.960322
"Lonsdale St/Queen St (Melbourne City)",-37.813369,144.95983
"La Trobe St/Queen St (Melbourne City)",-37.811698,144.959069
"Queen Victoria Market/Franklin St (Melbourne City)",-37.809494,144.956188
"Queen Victoria Market/Peel St (Melbourne City)",-37.80933,144.955534
"William St/A'Beckett St (Melbourne City)",-37.810488,144.956331
"La Trobe St/Queen St (Melbourne City)",-37.810604,144.95885
"Lonsdale St/Queen St (Melbourne City)",-37.812548,144.959727
"Little Bourke St/Queen St (Melbourne City)",-37.813792,144.960295
"Bourke St/Queen St (Melbourne City)",-37.814628,144.960681
"Little Collins St/Queen St (Melbourne City)",-37.815682,144.961175
"Casino East/Queens Bridge St (Southbank)",-37.82209,144.961214
"Kavanagh St/Southbank Bvd (Southbank)",-37.823097,144.965776
"Victorian College of the Arts/Southbank Bvd (Southbank)",-37.823707,144.968248
"City Rd/Southbank Bvd (Southbank)",-37.823122,144.964651
"Casino East/Queens Bridge St (Southbank)",-37.821694,144.961259
"Old Melbourne Gaol/Russell St (Melbourne City)",-37.807495,144.965637
"Jeffcott St/Spencer St (West Melbourne)",-37.811891,144.950999
"Dudley St/Spencer St (West Melbourne)",-37.809809,144.949932
"Dudley St/Spencer St (West Melbourne)",-37.810496,144.950049
"Jeffcott St/Spencer St (West Melbourne)",-37.811814,144.950683
"Spencer St/Dudley St (West Melbourne)",-37.809992,144.950597
"King St/Dudley St (West Melbourne)",-37.809296,144.952036
"William St/Dudley St (West Melbourne)",-37.808701,144.954631
"Banana Alley Vaults/Flinders St (Melbourne City)",-37.819156,144.961943
"Market St/Flinders St (Melbourne City)",-37.818973,144.9618
"Little Lonsdale St/Russell St (Melbourne City)",-37.809574,144.966488
"Trades Hall/Lygon St (Carlton)",-37.806646,144.966046
"La Trobe St/Russell St (Melbourne City)",-37.808579,144.966311
"Little Lonsdale St/Exhibition St (Melbourne City)",-37.808841,144.968962
"Spring St/Lonsdale St (Melbourne City)",-37.80972,144.971323
"Exhibition St/Lonsdale St (Melbourne City)",-37.810444,144.968861
"Melbourne Central/Lonsdale St (Melbourne City)",-37.811567,144.965025
"Supreme Court/Lonsdale St (Melbourne City)",-37.813898,144.957021
"Lonsdale St/Spencer St (Melbourne City)",-37.814821,144.952077
"Spencer St/Lonsdale St (Melbourne City)",-37.814201,144.955297
"King St/Lonsdale St (Melbourne City)",-37.814288,144.955124
"County Court/Lonsdale St (Melbourne City)",-37.813453,144.957874
"Hardware Lane/Lonsdale St (Melbourne City)",-37.812636,144.960645
"Swanston St/Lonsdale St (Melbourne City)",-37.81131,144.965282
"Tattersalls Lane/Lonsdale St (Melbourne City)",-37.811327,144.965202
"Exhibition St/Lonsdale St (Melbourne City)",-37.809828,144.970252
"Stanley St/Spencer St (West Melbourne)",-37.808227,144.948613
